1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
producto_id,FARMID,EAN13,,,EDITABLE_NAME,CODE_ISP,PRINCIPE_ACTIVE,PRINCIPE_ACTIVE_ID,LABORATORY,LABORATORY_ID,CONCENTRATION,SHAPE_PHARMACY,SHAPE_PHARMACY2,SHAPE_PHARMACY2_id,LIQUID,QUANTITY_PER_CONTAINER,UNIDAD,UNIDAD_ID,SUB_CATEGORY,SUB_CATEGORY_ID,PRESCRIPTION_TYPE,PRESCRIPTION_TYPE_ID,BIOEQUIVALENT,COOLED,CENABAST,BRAND,SELECT
77700001,301X5,736085402551,9115,#N/A,"3 A OFTENO 0,1% X 5 ML",F-1877/19,DICLOFENACO,890000317,SOPHIA,8000000169,"0,10%",SOLUCION OFTALMICA,SOL.,560000038,1,5,100 ML,65000000001,ANALGESICOS Y ANTIINFLAMATORIOS,75000000021,MRE,410000001,1,0,0,1,
77700005,5X12,7800060005723,4746,$4.100,AB 5MG LIMON X 12 COM,F-7772/21,CLORHEXIDINA,890000264,SAVAL,8000000161,5MG,COMPRIMIDOS MASTICABLES,COM.,560000006,0,12,UNIDAD,65000000003,ANTISEPTICOS BUCALES,75000000073,NP,410000002,0,0,0,1,1970
77700004,5X12,7800060005754,4745,$4.500,AB 5MG LIMON X 12 COM,F-7772/21,CLORHEXIDINA,890000264,SAVAL,8000000161,5MG,COMPRIMIDOS MASTICABLES,COM.,560000006,0,12,UNIDAD,65000000003,ANTISEPTICOS BUCALES,75000000073,NP,410000002,0,0,0,1,1971
77700008,ABECIX30,7800068010019,4417,$6.500,ABECIDIN ACD X 30 ML,F-6415/20,VIT A|VIT C|VIT D,890000722,PASTEUR,8000000131,2500MG;5623MG;2100MG;525MG,SOLUCION ORAL PARA GOTAS,SOL.,560000038,1,30,100 ML,65000000001,MULTIVITAMINICOS Y MINERALES,75000000187,MRE,410000001,0,0,0,1,1968
77700011,ABRIL355X100,4104480705199,7979,$6.700,ABRILAR 35MG/5ML X 100 ML,N-56/21,HEDERA HELIX,890000442,MEGALABS,8000000111,35MG/5ML,JARABE,JAR.,560000021,1,100,100 ML,65000000001,SISTEMA RESPIRATORIO,75000000235,NP,410000002,0,0,0,1,1967
77700012,X120,7800068010781,4401,$10.000,AC FORTE X 120 ML,F-16974/18,CLORFENAMINA|CODEINA|PSEUDOEFEDRINA,890000259,PASTEUR,8000000131,20MG/5ML;60MG/5ML;4MG/5ML,JARABE,JAR.,560000021,1,120,100 ML,65000000001,ANTITUSIVOS Y EXPECTORANTES,75000000077,MRE,410000001,0,0,0,1,1966
77700013,X120,7800068010774,4402,$5.500,AC X 120 ML,F-16975/18,CLORFENAMINA|CODEINA|PSEUDOEFEDRINA,890000259,PASTEUR,8000000131,20MG/5ML;15MG/5ML;1MG/5ML,JARABE,JAR.,560000021,1,120,100 ML,65000000001,ANTITUSIVOS Y EXPECTORANTES,75000000077,MRE,410000001,0,0,0,1,1965
77700017,ACEBR4X20,7800026660089,5165,#N/A,ACEBRON 4MG X 20 COM,F-16094/17,ACENOCUMAROL,890000005,ABBOTT,8000000000,4MG,COMPRIMIDOS,COM.,560000006,0,20,UNIDAD,65000000003,ANTICOAGULANTES,75000000041,MRE,410000001,1,0,0,1,
77700035,ACEITX20,7800044000430,4932,$1.800,ACEITE RICINO FRUTILLA X 20 G,N-476/19,RICINO,890000657,VALMA,8000000175,"99,45G/100G",ACEITE,ACEITE,560000000,0,20,100 G,65000000000,SISTEMA GASTROINTESTINAL,75000000230,NP,410000002,0,0,0,0,1962
