"EAN"|"CODE_ISP"
7800060011205|"B-0884"
7800060003224|"B-0885"
7703991000068|"B-10"
7800067007195|"B-10"
741076241|"B-1016"
7800063110615|"B-1016"
7800086793000|"B-1016"
7795990001764|"B-1024"
3582910023623|"B-1029"
7795312020497|"B-1029"
743046289|"B-1031"
7800063160078|"B-1031"
7800063360096|"B-1038"
740353294|"B-1039"
7800063160085|"B-1039"
7800061001533|"B-1062"
7804640560749|"B-1062"
742880385|"B-1080"
7800050306533|"B-1080"
740410788|"B-1142"
7800008040014|"B-1142"
7800008040052|"B-1143"
7800059002610|"B-1163"
7795312001427|"B-1349"
7800056003665|"B-1349"
7800022012448|"B-1472"
7809591400465|"B-1491"
7809591400441|"B-1492"
7809591401424|"B-1492"
7800067007478|"B-1494"
7795990000149|"B-1497"
7795990001016|"B-1498"
7800067007553|"B-1499"
7804646030123|"B-1518"
7804646030130|"B-1519"
7804646030147|"B-1520"
7800026017616|"B-1528"
7800026029633|"B-1528"
7800026005897|"B-1536"
7800026073353|"B-1536"
7800034517962|"B-1564"
744063728|"B-157"
7800028081110|"B-157"
7800028860135|"B-157"
7804621200008|"B-1615"
7804621200039|"B-1620"
7800086768800|"B-1715"
7800063160153|"B-1802"
7800018150307|"B-182"
7800007661845|"B-1820"
7800007662064|"B-1821"
7800007662224|"B-1822"
3582910023630|"B-1825"
7809591401271|"B-1842"
7809591401288|"B-1842"
7804621200114|"B-1897"
7804612010029|"B-1900"
7730979511179|"B-1908"
7730979511162|"B-1909"
7804646030086|"B-1934"
7804646030093|"B-1934"
740405517|"B-1941"
7800004001781|"B-1941"
7800004001798|"B-1941"
744527057|"B-1968"
3499320003865|"B-1968"
7795312020039|"B-1991"
7800068011092|"B-204"
7800059004409|"B-2103"
7800059004416|"B-2104"
7804620834020|"B-2118"
7804646030413|"B-2135"
7800060040069|"B-2152"
7804621200091|"B-2189"
7804621200107|"B-2189"
8715131013646|"B-2198"
8715134013646|"B-2198"
7804621200336|"B-2249"
7804633500134|"B-2250"
7795990001757|"B-2269"
7730949043815|"B-2321"
7800065000167|"B-2322"
7804621200008|"B-2340"
7804646030284|"B-2354"
7804621200350|"B-2362"
803878031257|"B-2372"
7804640560541|"B-2500"
7804640560572|"B-2501"
7800056001388|"B-2526"
743599659|"B-2546"
3583316669293|"B-2546"
7861152100801|"B-2549"
7804621200015|"B-2576"
7804621200527|"B-2578"
7804621200053|"B-2580"
7804621200039|"B-2586"
7795990000859|"B-2604"
7804621200367|"B-2626"
744591640|"B-2630"
7804640560824|"B-2630"
7804620834020|"B-2638"
7804650881629|"B-2638"
7800038042743|"B-2651"
7800038042729|"B-2652"
7804640561012|"B-2653"
741572181|"B-2654"
7804650881629|"B-2654"
5705624003059|"B-2701"
7862111350794|"B-2706"
8680199613384|"B-2727"
7804620831807|"B-2738"
740371486|"B-2739"
7804620830343|"B-2739"
7612797508381|"B-2740"
7640180263609|"B-2755"
7640180263616|"B-2756"
7640180263623|"B-2757"
7804621200572|"B-2759"
7804621200596|"B-2759"
7804621200503|"B-2774"
7804621200541|"B-2774"
7804621200497|"B-2775"
7800022012448|"B-2780"
7804620830343|"B-2796"
7804620834860|"B-2796"
744588945|"B-2797"
7896548134900|"B-2797"
744587884|"B-2798"
7896548134887|"B-2798"
7896548158951|"B-2798"
7795368002157|"B-2801"
744810921|"B-2802"
7800060038752|"B-2802"
744809379|"B-2803"
7800060038837|"B-2803"
7800060039056|"B-2804"
7800060038912|"B-2805"
5413895015779|"B-2807"
5413895042348|"B-2807"
7612797421512|"B-2807"
7896548134931|"B-2807"
7896548134917|"B-2808"
744622009|"B-2811"
736085413229|"B-2811"
5705624003073|"B-2858"
741326782|"B-296"
741328852|"B-296"
7800018000558|"B-296"
7800020162718|"B-296"
7800020173615|"B-296"
7800007679703|"B-314"
7800007144515|"B-315"
742916286|"B-317"
7800007122629|"B-317"
7800026005798|"B-385"
743170658|"B-519"
7800060003217|"B-519"
7800060003156|"B-520"
7809591401172|"B-754"
743268658|"B-779"
5702191011005|"B-796"
7800018124537|"B-796"
742803296|"B-811"
7800007111265|"B-811"
743045569|"B-814"
7800007142573|"B-814"
7800007142498|"B-815"
743268036|"B-870"
7800059172054|"B-870"
7800007143976|"B-872"
740896948|"B-884"
7800060011205|"B-884"
7800060003224|"B-885"
743173621|"B-886"
7800060003323|"B-886"
743176592|"B-887"
7800060003330|"B-887"
743172658|"B-888"
7800060003309|"B-888"
743173139|"B-889"
7800060003316|"B-889"
7800060003149|"B-890"
743266697|"B-891"
7800060011656|"B-891"
7800026005835|"B-91"
743601327|"B-922"
3583315558079|"B-922"
3583316669293|"B-922"
7804651290130|"B-922"
740406366|"B-941"
7800004001781|"B-941"
7800034517962|"B-955"
7800018107431|"B-958"
7800018108193|"B-958"
740383364|"B-981"
7800007143389|"B-981"
7800018178394|"E-10"
7800059003877|"E-2"
741215022|"E-22"
7800018111483|"E-22"
7800026428740|"E-3"
7800007772831|"E-5"
7809561400761|"E-8"
7800060132184|"E-9"
7800060110496|"F-0068"
7800060118195|"F-0116"
7800060117709|"F-0117"
7809591400571|"F-0224"
7501165010451|"F-0421"
7800056000114|"F-0421"
7800001900292|"F-0807"
7730969303876|"F-10028"
3596540050096|"F-10050"
7800017068436|"F-10050"
7800026002261|"F-10054"
7800026069813|"F-10054"
7800086808605|"F-10067"
740751848|"F-10074"
740751898|"F-10074"
7800063310534|"F-10074"
7800063310572|"F-10074"
7801000260707|"F-10092"
7801000262008|"F-10092"
7800026026649|"F-10095"
742426914|"F-10111"
742598403|"F-1015"
7800046006003|"F-1015"
7800063110615|"F-1016"
744657082|"F-10175"
7800018125121|"F-10175"
7800063310541|"F-10176"
740187490|"F-10226"
7800060115927|"F-10226"
7800016008556|"F-10234"
7800032000312|"F-1024"
7800016008679|"F-10243"
7800016008709|"F-10244"
7800016002042|"F-10248"
7800070001845|"F-10278"
7800070000718|"F-10309"
7800070000725|"F-10309"
742319372|"F-10317"
7800070000206|"F-10317"
7800070000145|"F-10318"
7800070000152|"F-10318"
7800070000213|"F-10319"
7800070001852|"F-10322"
7800070000244|"F-10335"
7800070001586|"F-10335"
7800070001999|"F-10360"
7800070000749|"F-10367"
7800070004228|"F-10373"
7800018117225|"F-104"
7800004001101|"F-10419"
740970449|"F-10427"
7800004251247|"F-10427"
7800004508594|"F-10427"
742854348|"F-10437"
7800004303434|"F-10437"
7800004340446|"F-10441"
7800004340453|"F-10441"
7800004341436|"F-10443"
743899236|"F-10446"
7800004348008|"F-10446"
7800004507887|"F-10448"
744476892|"F-10457"
7800004003150|"F-10457"
7800004501946|"F-10457"
7800004001811|"F-10458"
7800004369607|"F-10458"
7800004399536|"F-10458"
78012240|"F-10459"
744485067|"F-10459"
7800004003167|"F-10459"
7800004507825|"F-10459"
7800017003598|"F-10475"
