id,nombre,laboratorio_id,categoria_farmacologica_id,forma_farmaceutica_id,principio_activo_id,tipo_receta_id,registro_isp,es_cenabast,es_controlado,es_refrigerado,es_bioequivalente,es_generico,cantidad_por_envase
77700001,"3 A OFTENO 0,1% X 5 ML",8000000169,75000000021,560000038,890000317,410000001,F-1877/19,0,0,0,1,0,5
77700004,AB 5MG LIMON X 12 COM,8000000161,75000000073,560000006,890000264,410000002,F-7772/21,0,0,0,0,0,12
77700005,AB 5MG LIMON X 12 COM,8000000161,75000000073,560000006,890000264,410000002,F-7772/21,0,0,0,0,0,12
77700008,ABECIDIN ACD X 30 ML,8000000131,75000000187,560000038,890000722,410000001,F-6415/20,0,0,0,0,0,30
77700011,ABRILAR 35MG/5ML X 100 ML,8000000111,75000000235,560000021,890000442,410000002,N-56/21,0,0,0,0,0,100
77700012,AC FORTE X 120 ML,8000000131,75000000077,560000021,890000259,410000001,F-16974/18,0,0,0,0,0,120
77700013,AC X 120 ML,8000000131,75000000077,560000021,890000259,410000001,F-16975/18,0,0,0,0,0,120
77700017,ACEBRON 4MG X 20 COM,8000000000,75000000041,560000006,890000005,410000001,F-16094/17,0,0,0,1,0,20
77700032,ACEITE RICINO PURO X 20 G,8000000175,75000000230,560000000,890000657,410000002,N-475/19,0,0,0,0,1,20
77700033,ACEITE RICINO PURO X 20 G,8000000175,75000000230,560000000,890000657,410000002,N-475/19,0,0,0,0,1,20
77700035,ACEITE RICINO FRUTILLA X 20 G,8000000175,75000000230,560000000,890000657,410000002,N-476/19,0,0,0,0,1,20
77700038,ACERDIL 10MG X 30 COM,8000000000,75000000056,560000006,890000511,410000001,F-5654/20,0,0,0,0,0,30
77700039,ACERDIL 20MG X 30 COM,8000000000,75000000056,560000006,890000511,410000001,F-5655/20,0,0,0,0,0,30
77700040,ACERDIL 5MG X 30 COM,8000000000,75000000057,560000006,890000511,410000001,F-5656/20,0,0,0,0,0,30
77700043,ACETAZOLAMIDA 250MG X 20 COM,8000000027,75000000123,560000006,890000006,410000001,F-7494/21,0,0,0,0,1,20
77700044,ACETAZOLAMIDA 250MG X 20 COM,8000000035,75000000123,560000006,890000006,410000001,F-983/18,0,0,0,0,1,20
77700045,ACETAZOLAMIDA 250MG X 20 COM,8000000114,75000000123,560000006,890000006,410000001,F-4329/20,0,0,0,0,1,20
77700046,ACETIUM X 30 COM,8000000109,75000000263,560000006,890000480,410000002,,0,0,0,0,0,30
77700047,ACETONA PURA X 60 ML,8000000077,75000000116,560000038,890000008,410000002,,0,0,0,0,0,60
77700048,ACEVIT X 30 ML,8000000000,75000000187,560000038,890000353,410000001,F-5778/20,0,0,0,0,0,30
77700049,ACICLOVIR 200MG X 24 COM,8000000114,75000000236,560000006,890000009,410000003,F-9863/21,0,0,0,1,1,24
77700050,ACICLOVIR 200MG X 25 COM,8000000035,75000000236,560000006,890000009,410000003,F-8516/21,0,0,0,1,1,25
77700052,ACICLOVIR 400MG X 32 COM,8000000166,75000000236,560000006,890000009,410000003,F-22710/21,0,0,0,1,1,32
77700055,ACICLOVIR 400MG X 35 COM,8000000114,75000000236,560000006,890000009,410000003,F-13105/18,0,0,0,1,1,35
77700056,ACICLOVIR 400MG X 35 COM,8000000059,75000000236,560000006,890000009,410000003,F-18277/20,0,0,0,0,1,35
77700058,ACICLOVIR 400MG X 35 COM,8000000035,75000000236,560000006,890000009,410000003,F-8518/21,0,0,0,1,1,35
77700061,ACICLOVIR 5% X 15G CREM,8000000035,75000000251,560000007,890000009,410000003,F-3865/20,0,0,0,0,1,15
77700062,ACICLOVIR 5% X 15G CREM,8000000126,75000000251,560000007,890000009,410000003,F-20822/19,0,0,0,0,1,15
77700064,ACICLOVIR 5% X 5G CREM,8000000007,75000000251,560000007,890000009,410000003,F-24737/19,0,0,0,0,1,5
77700065,ACICLOVIR 5% X 5G CREM,8000000035,75000000251,560000007,890000009,410000003,F-3865/20,0,0,0,0,1,5
77700066,ACICLOVIR 800MG X 30 COM,8000000166,75000000236,560000006,890000009,410000003,F-22712/21,0,0,0,1,1,30
77700068,ACIDO ACETILSALICILICO 100MG X 100 COM,8000000126,75000000024,560000006,890000011,410000002,F-25681/20,0,0,0,1,1,100
77700070,ACIDO ACETILSALICILICO 100MG X 100 COM,8000000131,75000000024,560000006,890000011,410000002,F-6406/20,0,0,0,1,1,100
77700072,ACIDO ACETILSALICILICO 500MG X 20 COM,8000000086,75000000024,560000006,890000011,410000002,F-23353/17,0,0,0,1,1,20
77700073,ACIDO FOLICO 1MG X 30 COM,8000000012,75000000034,560000006,890000026,410000001,F-24580/19,0,0,0,0,1,30
77700074,ACIDO FOLICO 5MG X 30 COM,8000000012,75000000034,560000006,890000026,410000001,F-24631/19,0,0,0,0,1,30
77700075,ACIDO FOLICO 500MCG X 120 PORCIONES,8000000049,75000000271,560000032,890000026,410000002,,0,0,0,0,1,120
77700081,ACIDO SALICILICO X 1G SOB,8000000144,75000000006,560000032,890000045,410000002,,0,0,0,0,0,1
77700082,ACIDO VALPROICO 200MG X 30 COM,8000000005,75000000043,560000006,890000052,410000001,F-14446/20,0,0,0,0,1,30
77700083,ACIDO VALPROICO 200MG X 30 COM,8000000005,75000000043,560000006,890000052,410000001,F-14446/20,0,0,0,0,1,30
77700084,ACIDO VALPROICO 250MG X 20 COM,8000000005,75000000043,560000006,890000528,410000001,F-15806/21,0,0,0,0,0,20
77700085,ACIDO VALPROICO 250MG X 20 COM,8000000005,75000000043,560000006,890000052,410000004,F-15806,0,0,0,0,1,20
77700086,"ACIDO VALPROICO 37,5MG/ML X 25 ML",8000000005,75000000043,560000038,890000052,410000001,F-11377/21,0,0,0,0,1,25
77700088,ACIDO VALPROICO 500MG X 30 COM,8000000005,75000000043,560000006,890000052,410000001,F-15807/21,0,0,0,0,1,30
77700093,ACNERAL 20MG X 30 CAP,8000000035,75000000033,560000003,890000473,410000000,F-22419/21,0,0,0,1,0,30
77700094,ACNOTIN 10MG X 30 CAP,8000000014,75000000033,560000003,890000473,410000000,F-14213/19,0,0,0,1,0,30
77700095,ACNOTIN 20MG X 30 CAP,8000000014,75000000033,560000003,890000473,410000000,F-14214/19,0,0,0,1,0,30
77700097,ACOTOL X 28 COM,8000000000,75000000042,560000006,890000320,410000004,F-18033/20,0,0,0,1,0,28
77700101,ACTAN 20MG X 60 CAP,8000000060,75000000128,560000003,890000410,410000001,F-5446/20,0,0,0,1,0,60
77700103,ACTEBRAL X 28 CAP,8000000000,75000000130,560000003,890000420,410000001,F-5657/20,0,0,0,0,0,28
77700104,ACTIGERON 500MG X 30 COM,8000000014,75000000256,560000006,890000007,410000001,F-2022/19,0,0,0,0,0,30
77700106,ACTIV ON ADULTO X 30 CAP,#N/A,75000000187,560000003,#N/A,410000002,,0,0,0,0,0,30
77700109,ACTIVA 21 X 21 ,8000000022,75000000042,560000015,890000373,410000004,F-18192/20,0,0,0,0,0,21
77700113,ACTRON 400MG X 10 CAP,8000000016,75000000024,560000003,890000465,410000001,F-14035/19,0,0,0,0,0,10
77700115,ACTRON 400MG X 20 CAP,8000000016,75000000024,560000003,890000465,410000001,F-14035/19,0,0,0,0,0,20
77700118,ACTRON 600MG X 10 CAP,8000000016,75000000024,560000003,890000465,410000001,F-14758/20,0,0,0,0,0,10
77700119,ACTRON 600MG X 2 CAP,8000000016,75000000024,560000003,890000465,410000001,F-14758/20,0,0,0,0,0,2
77700120,ACTRON 600MG X 20 CAP,8000000016,75000000024,560000003,890000465,410000001,F-14758/20,0,0,0,0,0,20
77700126,ACUODE 50000UI X 2 SOB,8000000000,75000000273,560000032,890000730,410000001,F-22241/20,0,0,0,0,0,2
77700129,"ADAPALENO 0,1% X 30 G",8000000080,75000000033,560000013,890000053,410000001,F-25537/20,0,0,0,0,0,30
77700130,ADESNA 500MG X 10 COM,8000000114,75000000024,560000006,890000042,410000001,F-13450/18,0,0,0,1,0,10
77700131,"ADIAMIL 0,1% X 30 CREM",8000000000,75000000033,560000007,890000053,410000001,F-14542/20,0,0,0,0,0,30
77700133,ADOLEX PLUS X 10 COM,8000000108,75000000073,560000006,890000064,410000002,F-13981/19,0,0,0,0,0,10
77700134,ADOLEX X 10 COM,8000000108,75000000073,560000006,890000063,410000002,F-20571/18,0,0,0,0,0,10
77700135,ADOPLAN 125MG X 10 COM,8000000055,75000000024,560000006,890000254,410000001,F-9293/16,0,0,0,0,0,10
77700136,ADORLAN 25MG/25MG X 10 COM,8000000081,75000000019,560000006,890000319,410000000,F-25367/20,0,0,0,0,0,10
