id,nombre,unidad_de_medida_id
560000000,ACEITE,65000000001
560000002,ANILL.,65000000003
560000003,CAPS.,65000000003
560000005,COL.,65000000001
560000006,COM.,65000000003
560000007,CREM.,65000000000
560000008,DIU.,65000000003
560000009,EMULS.,65000000001
560000010,ENEM.,65000000001
560000011,ESM.,65000000001
560000012,ESP.,65000000001
560000013,GEL.,65000000000
560000014,GOT.,65000000001
560000015,GRAG.,65000000003
560000016,GRAN.,65000000003
560000017,INF.,65000000000
560000018,INH.,65000000002
560000019,INY.,65000000003
560000020,JAB.,65000000003
560000021,JAR.,65000000001
560000022,JER.,65000000003
560000023,LAB.,65000000003
560000024,LABIAL,65000000003
560000025,LAC.,65000000001
560000026,LAM.,65000000003
560000027,LIOF.,65000000003
560000028,LOC.,65000000001
560000029,OVUL.,65000000003
560000030,PARCH.,65000000003
560000031,PAST.,65000000003
560000032,POLV.,65000000000
560000033,POM.,65000000000
560000034,PRES.,65000000003
560000035,SAL.,65000000003
560000036,SHAMP.,65000000001
560000037,SIST.,65000000003
560000038,SOL.,65000000001
560000039,SPR.,65000000003
560000040,SUP.,65000000003
560000041,SUSP.,65000000001
560000042,TABL.,65000000003
560000043,TALC.,65000000000
560000044,UNG.,65000000000
