id,pharmid,nombre,laboratorio_id,categoria_farmacologica_id,forma_farmaceutica_id,principio_activo_id,tipo_receta_id,registro_isp,es_cenabast,es_controlado,es_refrigerado,es_bioequivalente,es_generico,cantidad_por_envase
77700001,3015ML,"3 A OFTENO 0,1% X 5 ML",8000000169,75000000021,560000038,890000317,410000001,F-1877/19,0,0,0,1,0,5
77700004,AB512COM,AB 5MG LIMON X 12 COM,8000000161,75000000073,560000006,890000264,410000002,F-7772/21,0,0,0,0,0,12
77700005,AB512COM,AB 5MG LIMON X 12 COM,8000000161,75000000073,560000006,890000264,410000002,F-7772/21,0,0,0,0,0,12
77700008,ABCDINACD30ML,ABECIDIN ACD X 30 ML,8000000131,75000000187,560000038,890000722,410000001,F-6415/20,0,0,0,0,0,30
77700011,ABRLAR355100ML,ABRILAR 35MG/5ML X 100 ML,8000000111,75000000235,560000021,890000442,410000002,N-56/21,0,0,0,0,0,100
77700012,ACFORTE120ML,AC FORTE X 120 ML,8000000131,75000000077,560000021,890000259,410000001,F-16974/18,0,0,0,0,0,120
77700013,AC120ML,AC X 120 ML,8000000131,75000000077,560000021,890000259,410000001,F-16975/18,0,0,0,0,0,120
77700017,ACBRON420COM,ACEBRON 4MG X 20 COM,8000000000,75000000041,560000006,890000005,410000001,F-16094/17,0,0,0,1,0,20
77700032,ACTERICNOFRTLLA20G,ACEITE RICINO PURO X 20 G,8000000175,75000000230,560000000,890000657,410000002,N-475/19,0,0,0,0,1,20
77700033,ACTERICNOPURO20G,ACEITE RICINO PURO X 20 G,8000000175,75000000230,560000000,890000657,410000002,N-475/19,0,0,0,0,1,20
77700035,ACTERICNOPURO20G,ACEITE RICINO FRUTILLA X 20 G,8000000175,75000000230,560000000,890000657,410000002,N-476/19,0,0,0,0,1,20
77700038,ACRDIL1030COM,ACERDIL 10MG X 30 COM,8000000000,75000000056,560000006,890000511,410000001,F-5654/20,0,0,0,0,0,30
77700039,ACRDIL2030COM,ACERDIL 20MG X 30 COM,8000000000,75000000056,560000006,890000511,410000001,F-5655/20,0,0,0,0,0,30
77700040,ACRDIL530COM,ACERDIL 5MG X 30 COM,8000000000,75000000057,560000006,890000511,410000001,F-5656/20,0,0,0,0,0,30
77700043,ACTZLMDA25020COM,ACETAZOLAMIDA 250MG X 20 COM,8000000027,75000000123,560000006,890000006,410000001,F-7494/21,0,0,0,0,1,20
77700044,ACTZLMDA25020COM,ACETAZOLAMIDA 250MG X 20 COM,8000000035,75000000123,560000006,890000006,410000001,F-983/18,0,0,0,0,1,20
77700045,ACTZLMDA25020COM,ACETAZOLAMIDA 250MG X 20 COM,8000000114,75000000123,560000006,890000006,410000001,F-4329/20,0,0,0,0,1,20
77700046,ACTUM30COM,ACETIUM X 30 COM,8000000109,75000000263,560000006,890000480,410000002,,0,0,0,0,0,30
77700047,ACTNAPURA60ML,ACETONA PURA X 60 ML,8000000077,75000000116,560000038,890000008,410000002,,0,0,0,0,0,60
77700048,ACVIT30ML,ACEVIT X 30 ML,8000000000,75000000187,560000038,890000353,410000001,F-5778/20,0,0,0,0,0,30
77700049,ACCLVIR20024COM,ACICLOVIR 200MG X 24 COM,8000000114,75000000236,560000006,890000009,410000003,F-9863/21,0,0,0,1,1,24
77700050,ACCLVIR20025COM,ACICLOVIR 200MG X 25 COM,8000000035,75000000236,560000006,890000009,410000003,F-8516/21,0,0,0,1,1,25
77700052,ACCLVIR40032COM,ACICLOVIR 400MG X 32 COM,8000000166,75000000236,560000006,890000009,410000003,F-22710/21,0,0,0,1,1,32
77700055,ACCLVIR40035COM,ACICLOVIR 400MG X 35 COM,8000000114,75000000236,560000006,890000009,410000003,F-13105/18,0,0,0,1,1,35
77700056,ACCLVIR40035COM,ACICLOVIR 400MG X 35 COM,8000000059,75000000236,560000006,890000009,410000003,F-18277/20,0,0,0,0,1,35
77700058,ACCLVIR40035COM,ACICLOVIR 400MG X 35 COM,8000000035,75000000236,560000006,890000009,410000003,F-8518/21,0,0,0,1,1,35
77700061,ACCLVIR515CRE,ACICLOVIR 5% X 15G CREM,8000000035,75000000251,560000007,890000009,410000003,F-3865/20,0,0,0,0,1,15
77700062,ACCLVIR515CRE,ACICLOVIR 5% X 15G CREM,8000000126,75000000251,560000007,890000009,410000003,F-20822/19,0,0,0,0,1,15
77700064,ACCLVIR55CRE,ACICLOVIR 5% X 5G CREM,8000000007,75000000251,560000007,890000009,410000003,F-24737/19,0,0,0,0,1,5
77700065,ACCLVIR55CRE,ACICLOVIR 5% X 5G CREM,8000000035,75000000251,560000007,890000009,410000003,F-3865/20,0,0,0,0,1,5
77700066,ACCLVIR80030COM,ACICLOVIR 800MG X 30 COM,8000000166,75000000236,560000006,890000009,410000003,F-22712/21,0,0,0,1,1,30
77700068,ACDOACTLSLCLCO100100COM,ACIDO ACETILSALICILICO 100MG X 100 COM,8000000126,75000000024,560000006,890000011,410000002,F-25681/20,0,0,0,1,1,100
77700070,ACDOACTLSLCLCO100100COM,ACIDO ACETILSALICILICO 100MG X 100 COM,8000000131,75000000024,560000006,890000011,410000002,F-6406/20,0,0,0,1,1,100
77700072,ACDOACTLSLCLCO50020COM,ACIDO ACETILSALICILICO 500MG X 20 COM,8000000086,75000000024,560000006,890000011,410000002,F-23353/17,0,0,0,1,1,20
77700073,ACDOFOLCO130COM,ACIDO FOLICO 1MG X 30 COM,8000000012,75000000034,560000006,890000026,410000001,F-24580/19,0,0,0,0,1,30
77700074,ACDOFOLCO500120POR,ACIDO FOLICO 5MG X 30 COM,8000000012,75000000034,560000006,890000026,410000001,F-24631/19,0,0,0,0,1,30
77700075,ACDOFOLCO530COM,ACIDO FOLICO 500MCG X 120 PORCIONES,8000000049,75000000271,560000032,890000026,410000002,,0,0,0,0,1,120
77700081,ACDOSALCLCO1SOB,ACIDO SALICILICO X 1G SOB,8000000144,75000000006,560000032,890000045,410000002,,0,0,0,0,0,1
77700082,ACDOVALPRCO20030COM,ACIDO VALPROICO 200MG X 30 COM,8000000005,75000000043,560000006,890000052,410000001,F-14446/20,0,0,0,0,1,30
77700083,ACDOVALPRCO20030COM,ACIDO VALPROICO 200MG X 30 COM,8000000005,75000000043,560000006,890000052,410000001,F-14446/20,0,0,0,0,1,30
