"id"|"EAN13"|"CODE_ISP"|"EDITABLE_NAME"|"PRINCIPE_ACTIVE"|"CLEAR_CONCENTRATION"|"CONCENTRATION"|"SHAPE_PHARMACY"|"QUANTITY_PER_CONTAINER"|"UNIT_OF_MEASUREMENT"|"LABORATORY"|"MASTER_CATEGORY"|"CATEGORY"|"SUB_CATEGORY"|"PRESCRIPTION_TYPE"|"BIOEQUIVALENT"|"COOLED"|"CENABAST"|"BRAND"|"LIQUID"
777000000|10022344||"GLICERINA LIQUIDA X 60 ML"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"LIQUIDO"|"60"|"100 ML"|"MAQUIPACK"|"MEDICAMENTOS"|"OFICINALES"|"SISTEMA GASTROINTESTINAL"|"NP"|0|0||0|1
777000001|10030073||"SANAX VASELINA SOLIDA BLANCA X 25 G"|"VASELINA SEGUN ROTULADO"||"SEGUN ROTULADO"|"PASTA"|"25"|"100 G"|"SANAX"|"MEDICAMENTOS"|"OFICINALES"|"DERMATOLOGICOS"|"NP"|0|0||0|0
777000002|10030462||"ELITE ALCOHOL DESNATURALIZADO 70% X 130 ML"|"ALCOHOL 70%"||"70%"|"SOLUCION TOPICA"|"130"|"100 ML"|"ELITE"|"CUIDADO PERSONAL E HIGIENE"|"CUIDADO PERSONAL"|"JABONES Y ALCOHOL GEL"|"NP"|0|0||1|1
777000003|42096276||"NIVEA ANTITRANSPIRANTE BARRA DRY COMFORT X 43 G"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"BARRA"|"43"|"100 G"|"NIVEA"|"CUIDADO PERSONAL E HIGIENE"|"CUIDADO PERSONAL"|"DESODORANTES Y ANTITRANSPIRANTES"|"NP"|0|0||1|0
777000004|50190256|"F-23326/17"|"GAVISCON 10 ML SUSPENSIÓN ORAL X 1 SACHET"|"BICARBONATO DE SODIO 267 MG CARBONATO DE CALCIO 160 MG SODIO ALGINATO 500 MG"|"267;160;500"|"267 MG;160 MG;500 MG"|"SUSPENSION ORAL"|"1"|"SOBRE"|"RECKITT BENCKISER"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIACIDOS"|"NP"|0|0||1|0
777000005|75046330|"F-7121/20"|"VAPORUB X 12 G UNGÜENTO TÓPICO"|"ALCANFOR 5,26 G/100 G ACEITE DE HOJA DE CEDRO 0,44 G/100 G ACEITE DE EUCALIPTUS 1,33 G/100 G"|"5,26;0,44;1,33;2,82;0,69;0,09;0,09"|"5,26 G/100 G;0,44 G/100 G;1,33 G/100 G;2,82 G/100 G;0,69 G/100 G;0,09 G/100 G;0,09 G/100 G"|"UNGUENTO TOPICO"|"12"|"100 G"|"PROCTER & GAMBLE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS A RESFRIADO"|"DESCONGESTIONANTES"|"NP"|0|0||1|0
777000006|77500403|"F-15904/17"|"MENTHOLATUM X 30 G UNGÜENTO TÓPICO"|"ALCANFOR 9 G MENTOL 1,35 G"|"9;1,35"|"9 G;1,35 G"|"UNGUENTO TOPICO"|"30"|"100 G"|"HOFMANN"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS A RESFRIADO"|"DESCONGESTIONANTES"|"NP"|0|0||1|0
777000007|78026520|"F-15904/17"|"MENTHOLATUM X 18 G UNGÜENTO TÓPICO"|"ALCANFOR 9 G MENTOL 1,35 G"|"9;1,35"|"9 G;1,35 G"|"UNGUENTO TOPICO"|"18"|"100 G"|"HOFMANN"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS A RESFRIADO"|"DESCONGESTIONANTES"|"NP"|0|0||1|0
777000008|78026711|"F-21743/20"|"QUITACALLOS 30 % X 5 G POMADA DÉRMICA"|"ACIDO SALICILICO 30 G/100 G"|"30"|"30 G/100 G"|"CREMA DERMICA"|"5"|"100 G"|"FARMOQUIMICA"|"MEDICAMENTOS"|"DERMATOLOGICOS"|"ANTICALLOS"|"NP"|0|0||1|0
777000009|78037830|"F-15904/17"|"MENTHOLATUM X 12 G UNGÜENTO TÓPICO"|"ALCANFOR 9 G MENTOL 1,35 G"|"9;1,35"|"9 G;1,35 G"|"UNGUENTO TOPICO"|"12"|"100 G"|"HOFMANN"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS A RESFRIADO"|"DESCONGESTIONANTES"|"NP"|0|0||1|0
777000010|20800600323||"TAMPAX REGULAR X 10 UNIDADES"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"TAMPON"|"10"|"UNIDAD"|"PROCTER & GAMBLE"|"CUIDADO PERSONAL E HIGIENE"|"CUIDADO PERSONAL"|"TOALLITAS HIGIENICAS, TAMPONES Y PROTECTORES"|"NP"|0|0||1|0
777000011|37000394945||"NATURELLA TOALLA HIGIENICA DIA CON ALAS MANZANILLA X 14 UNIDADES"|"NO APLICA"||"NO APLICA"|"TOALLITAS"|"14"|"UNIDAD"|"NATURELLA"|"CUIDADO PERSONAL E HIGIENE"|"CUIDADO PERSONAL"|"TOALLITAS HIGIENICAS, TAMPONES Y PROTECTORES"|"NP"|0|0||1|0
777000012|44677102032||"LANSINOH LANOLINA HPA X 7 G"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"CREMA"|"7"|"100 G"|"CARE"|"CUIDADO PERSONAL E HIGIENE"|"CUIDADO DE LA PIEL"|"CREMAS CORPORALES"|"NP"|0|0||1|0
777000013|48341980506||"SWISS BEAUTY PETALOS MAXI X 60 UNIDADES"|"NO APLICA UNITARIO"||"UNITARIO"|"PETALOS"|"60"|"UNIDAD"|"SWISS BEAUTY"|"BELLEZA"|"ARTICULOS DE TOCADOR"|"ALGODONES Y VARITAS"|"NP"|0|0||1|0
777000014|71603002128||"TRIM CORTAUÑAS GRANDE NAIL CARE X 1 UNIDAD"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"CORTAUÑAS"|"1"|"UNIDAD"|"TRIM"|"BELLEZA"|"ARTICULOS DE TOCADOR"|"MANICURE Y PEDICURE"|"NP"|0|0||1|0
777000015|71603002135||"TRIM CORTAUÑAS DELUXE NEAT FEET X 1 UNIDAD"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"CORTAUÑAS"|"1"|"UNIDAD"|"TRIM"|"BELLEZA"|"ARTICULOS DE TOCADOR"|"MANICURE Y PEDICURE"|"NP"|0|0||1|0
